,Precision,Recall,F1,TP,FP,FN
1,0.4563654827221181,0.5330526315789473,0.4908388633539361,40.3,48.2,35.3
2,0.5950766303391452,0.6488614341085271,0.6202635534121013,83.5,56.9,45.2
3,0.48338902369099,0.36076754385964915,0.4116274715162195,34.5,36.5,61.1
Macro Average,0.5116103789174177,0.5142272031823746,0.5075766294274191,,,
Micro Average,0.527830546265329,0.527830546265329,0.527830546265329,,,
Accuracy,0.527830546265329,0.527830546265329,0.527830546265329,0.527830546265329,0.527830546265329,0.527830546265329
